,depth,magnitude
0,178.02,4.2
1,16.93,4.4
2,10.0,4.7
3,10.37,3.16
4,3.65,2.9
5,2.65,2.8
6,0.57,3.01
7,10.08,2.61
8,17.12,4.4
9,1.74,2.88
10,38.0,3.2
11,10.0,5.3
12,82.7,2.7
13,10.0,5.4
14,10.0,4.1
15,10.0,5.0
16,0.0,3.4
17,10.0,4.2
18,30.0,3.24
19,4.9,2.8
20,16.66,5.0
21,8.28,4.3
22,5.0,3.3
23,10.0,5.0
24,4.96,2.7
25,10.0,4.8
26,-2.1,2.85
27,10.0,2.9
28,1.4,2.6
29,8.0,3.17
30,52.34,4.7
31,44.0,3.42
32,162.17,4.5
33,36.21,4.7
34,10.0,4.6
35,0.1,3.0
36,2.49,2.5
37,10.0,4.4
38,10.0,5.2
39,14.55,2.93
40,252.43,4.3
41,9.5,2.5
42,15.0,3.18
43,204.53,4.2
44,40.5,3.2
45,134.72,4.7
46,140.26,4.8
47,29.76,3.17
48,10.2,2.7
49,123.0,3.4
50,3.3,2.9
51,6.86,2.75
52,35.0,4.5
53,21.69,2.8
54,110.49,4.7
55,9.08,2.68
56,51.94,4.5
57,1.18,3.2
58,65.9,4.9
59,83.32,4.4
60,30.02,4.3
61,98.0,2.53
62,56.0,3.14
63,8.46,2.54
64,20.72,3.2
65,20.5,3.6
66,10.0,5.0
67,10.0,4.2
68,28.7,2.7
69,103.51,5.2
70,10.0,4.7
71,1.6,2.7
72,6.13,2.93
73,5.35,2.95
74,5.32,2.64
75,18.44,4.3
76,13.7,2.72
77,10.68,3.56
78,49.0,3.07
79,40.84,5.0
80,6.85,2.82
81,210.31,4.9
82,0.0,3.7
83,0.0,2.9
84,95.97,5.0
85,5.44,2.84
86,177.6,4.6
87,11.0,3.0
88,51.42,4.8
89,51.4,2.6
90,11.1,2.6
91,10.0,4.8
92,10.0,4.7
93,19.93,4.2
94,80.4,3.0
95,10.0,4.0
96,12.43,4.3
97,174.88,4.3
98,89.0,3.59
99,19.49,4.2
100,10.0,4.7
101,3.95,2.55
102,10.0,5.3
103,81.5,2.8
104,41.26,4.8
105,0.8,2.8
106,5.97,2.81
107,10.0,4.6
108,4.65,2.87
109,17.0,2.86
110,49.08,4.4
111,10.0,4.3
112,4.71,2.81
113,10.0,4.5
114,139.94,4.5
115,10.0,4.2
116,10.0,4.5
117,8.09,2.47
118,46.6,4.4
119,10.0,4.6
120,11.8,2.6
121,197.7,2.8
122,190.01,4.2
123,7.08,3.9
124,57.48,5.0
125,81.29,4.2
126,10.0,4.6
127,18.08,3.9
128,28.58,5.3
129,16.3,3.2
130,53.97,4.6
131,7.26,2.94
132,10.0,4.5
133,12.0,3.0
134,31.65,4.4
135,40.17,5.9
136,10.0,4.5
137,6.4,2.6
138,0.1,3.9
139,10.0,5.0
140,10.0,4.8
141,10.0,4.3
142,77.2,2.7
143,75.98,4.2
144,11.0,3.06
145,5.8,2.7
146,7.71,2.52
147,102.6,4.8
148,105.0,2.84
149,3.98,2.6
150,27.69,4.3
151,36.2,3.2
152,0.7,2.7
153,98.0,3.52
154,4.38,2.9
155,54.0,2.8
156,47.78,4.9
157,10.0,2.7
158,0.0,2.8
159,7.76,2.82
160,10.15,2.76
161,84.0,3.42
162,10.0,4.8
163,123.63,4.1
164,6.42,2.51
165,9.83,3.12
166,8.5,2.6
167,9.62,2.63
